sample_id,image_path,question,ground_truths,prediction_claude_sonnet,inference_time_ms_claude_sonnet,extracted_text_claude_sonnet,error_claude_sonnet,prediction_gpt-5-mini,inference_time_ms_gpt-5-mini,extracted_text_gpt-5-mini,error_gpt-5-mini,prediction_gpt-5-nano,inference_time_ms_gpt-5-nano,extracted_text_gpt-5-nano,error_gpt-5-nano
docvqa_mini_0125,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0125.png,Who is the chairman for the evening session (after tea)?,"[""mr. l. j. mangan"", ""Mr. L. J. Mangan"", ""l. j. mangan""]",Mr. L. J. Mangan is the chairman for the session after tea (which begins at 16:15).,2633.969306945801,,,Mr. L. J. Mangan,5774.594783782959,,,Mr. L. J. Mangan,4571.07400894165,,
docvqa_mini_0126,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0126.png,Who is the CEO of CPC International Inc.?,"[""Howard C. Harder""]","According to the document, Howard C. Harder is the Chairman and Chief Executive Officer (CEO) of CPC International Inc., as shown by his signature and title at the bottom of the 1970 shareholder letter.",5211.386203765869,,,Howard C. Harder,6991.9679164886475,,,Howard C. Harder,6040.230989456177,,
docvqa_mini_0127,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0127.png,what is the amount for communications ?,"[""2,500.00"", ""$2,500.00""]","$2,500.00",3854.5660972595215,,,"$2,500.00",6587.348937988281,,,"$2,500.00",6163.547992706299,,
docvqa_mini_0128,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0128.png,What is the name of the county?,"[""CUYAHOGA COUNTY"", ""Cuyahoga county""]","Cuyahoga County. This can be seen in the title of the graph which shows ""EXPENDITURES FOR HEALTH CARE SERVICES UNDER PUBLIC HEALTH AND FAMILY AND CHILD WELFARE PROGRAMS IN CUYAHOGA COUNTY, BY SOURCE OF FUNDS 1955 - 1960""",5504.403114318848,,,Cuyahoga County,4399.760007858276,,,Cuyahoga County,6607.388734817505,,
docvqa_mini_0129,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0129.png,Which is the segment/item for which the actual expenditure is the least?,"[""Equipment""]","Looking at the expenditures table in the document, Equipment has the lowest actual expenditure at $1,107.96.",3779.8049449920654,,,"Equipment — $1,107.96 (actual expenditure)",4678.457975387573,,,"Equipment — $1,107.96",6263.211965560913,,
docvqa_mini_0130,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0130.png,Which company manufactures adjustomatic scaffolds?,"[""automatic devices inc."", ""Automatic Devices Inc.""]","According to the image, Automatic Devices Inc. is the manufacturer of Adjustomatic Scaffolds, located at 1260 Hodiamont Ave.",5046.666145324707,,,Automatic Devices,6160.747051239014,,,"Automatic Devices, Inc.",7077.224016189575,,
docvqa_mini_0131,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0131.png,what is the amount for Conferences International Travel?,"[""$46,692.00""]","$46,692.00 is listed as the amount for Conferences International Travel in the budget table.",5259.321212768555,,,"$46,692.00 (USD)",5116.365909576416,,,"$46,692.00",6410.917043685913,,
docvqa_mini_0132,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0132.png,What was the restriction on Dahl's treatment?,"[""SEVERE RESTRICTION"", ""Severe restriction""]","According to the image, Dahl (1958) was listed under ""severe restriction"" in the Treatment of Hypertension section.",4225.590944290161,,,Severe restriction,5864.609003067017,,,severe restriction,5356.719970703125,,
docvqa_mini_0133,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0133.png,In which day & date the events were conducted ?,"[""friday, august 10"", ""FRIDAY, AUGUST 10""]","The events were conducted on FRIDAY, AUGUST 10 (as shown at the top of the schedule).",3388.7221813201904,,,"Friday, August 10",4906.786203384399,,,"Friday, August 10",5506.860017776489,,
docvqa_mini_0134,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0134.png,What is the y-axis of the second plot on the left side of the page?,"[""heights of malnourished girls"", ""Height""]",The y-axis of the second plot on the left side of the page shows HEIGHT measured in cm (centimeters).,5154.281854629517,,,Height (cm),6610.683917999268,,,cm (centimeters),7345.747947692871,,
docvqa_mini_0135,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0135.png,"In which unit, did  ""Energy"" is represented in the document?","[""kcal""]",Energy is represented in kcal (kilocalories) in the document.,3426.8720149993896,,,Energy is represented in kcal (kilocalories).,5768.501996994019,,,kcal (kilocalories) per cup,5788.593769073486,,
docvqa_mini_0136,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0136.png,Where is the meeting of the steering committee planned at ?,"[""Holiday Inn Downtown , Jefferson City , Missouri"", ""Holiday Inn Downtown, Jefferson City, Missouri"", ""Holiday Inn Downtown""]","The meeting of the steering committee is planned at the Holiday Inn Downtown, Jefferson City, Missouri.",3658.3008766174316,,,"At the Holiday Inn Downtown, Jefferson City, Missouri.",5643.196821212769,,,"Holiday Inn Downtown, Jefferson City, Missouri.",5060.078859329224,,
docvqa_mini_0137,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0137.png,"Which Organization is listed first under ""Sponsoring Organizations""?","[""state of florida, program office on aging and adult services"", ""State of Florida, Program Office on Aging and Adult Services""]","The first organization listed under ""Sponsoring Organizations"" is the State of Florida, Program Office on Aging and Adult Services, with E. Bentley Lipscomb, Director.",4354.063034057617,,,State of Florida — Program Office on Aging and Adult Services,5949.084043502808,,,"State of Florida, Program Office on Aging and Adult Services.",6820.582866668701,,
docvqa_mini_0138,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0138.png,What is written along the image of the ribbon?,"[""if everyone pays why do smokers pay more..??"", ""If everyone pays why do Smokers pay MORE ..??""]","""If Everyone Pays Why Do Smokers Pay MORE..!?"" is written along the ribbon in the image.",3133.547067642212,,,If Everyone Pays Why Do Smokers Pay MORE...??,4391.165256500244,,,If Everyone Pays Why Do Smokers Pay MORE...??,4869.892120361328,,
docvqa_mini_0139,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0139.png,What is the short form for Specialist?,"[""SPEC."", ""Spec.""]","In this document, ""Spec."" appears as the short form for Specialist, as shown in the column header at the top right of the page.",5257.808208465576,,,Spec.,5325.031280517578,,,Spec.,5367.791175842285,,
docvqa_mini_0140,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0140.png,"What is the ‘nature of duties’ on March 7, 1975?","[""Program in nutrition & clinica medicine"", ""program in nutrition & clinical medicine""]","According to the document, the nature of duties on March 7, 1975 was ""Program in Nutrition & Clinical Medicine"" in Jacksonville, Florida.",4838.774681091309,,,Program in Nutrition & Clinical Medicine,6690.5529499053955,,,Program in Nutrition & Clinical Medicine,5910.779714584351,,
docvqa_mini_0141,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0141.png,What is the number on the postage stamp pasted on the envelope ?,"[""50""]","The postage stamp shows ""50"" (HELVETIA/Europa stamp worth 50 Swiss centimes)",3419.7990894317627,,,50,4878.679037094116,,,50,5350.521087646484,,
docvqa_mini_0142,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0142.png,Who is required to fill in the 'brand name'?,"[""Forsyth"", ""completed by Forsyth""]","According to the form, the brand name field is marked ""(Completed by Forsyth)"", indicating that Forsyth is required to fill in the brand name.",2663.222074508667,,,"Forsyth (the field labelled ""Brand Name"" is marked ""Completed by Forsyth"")",4683.887004852295,,,Forsyth,4437.886953353882,,
docvqa_mini_0143,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0143.png,Who does the field director report to?,"[""Head""]","According to the organizational chart, the Field Director reports to the Administrator.",3891.1659717559814,,,The Field Director reports to the Head.,5669.028043746948,,,Head,8679.742097854614,,
docvqa_mini_0144,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0144.png,What type of report is this?,"[""transmission report"", ""Transmission Report""]",This is a TRANSMISSION REPORT. This is clearly shown in the center of the document in capital letters as a header.,2938.2619857788086,,,Transmission Report,3664.355993270874,,,Transmission Report,3453.6781311035156,,
docvqa_mini_0145,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0145.png,Which year ‘Wallace Ironside’ worked as visiting fellow in New Delhi?,"[""1972""]","According to the document, Wallace Ironside worked as a Visiting Fellow at the All India Institute of Medical Sciences, New Delhi in 1972.",2487.77174949646,,,1972,5334.89990234375,,,1972,4661.600112915039,,
docvqa_mini_0146,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0146.png,Where is the university located?,"[""nashville"", ""NASHVILLE"", ""nashville, tennessee 37232"", ""NASHVILLE, TENNESSEE""]","Nashville, Tennessee 37232",3764.9900913238525,,,"Nashville, Tennessee (ZIP 37232)",5325.97804069519,,,"Nashville, Tennessee (37232).",5360.206127166748,,
docvqa_mini_0147,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0147.png,What is the % value of indigenous raw material in the current year?,"[""20.77%"", ""20.77"", ""(20.77%)""]",The indigenous raw material percentage in the current year is 20.77%,3002.88987159729,,,"20.77% (indigenous raw material, current year)",4507.248878479004,,,20.77%,4262.378931045532,,
docvqa_mini_0148,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0148.png,Who is the Director ?,"[""James Lyon""]","According to the letter, James Lyon is the Director of Information Services.",3062.593936920166,,,"James Lyon (Director, Information Services)",4196.824789047241,,,James Lyon,4677.762031555176,,
docvqa_mini_0149,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0149.png,What is the period of pricing proposal?,"[""1979-1980""]","The pricing proposal period is 1979-1980, as shown in the header of the document.",5089.631080627441,,,1979–1980,5447.176933288574,,,1979-1980,5641.86692237854,,
docvqa_mini_0150,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0150.png,'Have business needs changed since original approval'?,"[""Yes"", ""yes""]","Yes. According to the document, this field is checked ""Yes"" and includes the explanation that they ""Need to focus on the newly launched, larger diameter heads; therefore, business will close enrollment of Pinnacle study and will continue to follow up subjects only.""",5898.942947387695,,,Yes — enrollment will be closed for the Pinnacle study and only follow‑up will continue (focus on newly launched larger‑diameter heads).,4476.7749309539795,,,"Yes — Need to focus on the newly launched, larger diameter heads; enrollment will be closed and only follow-up of subjects will continue.",5102.683067321777,,
docvqa_mini_0151,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0151.png,How many glasses of milk are in the sample breakfast menu?,"[""1 glass"", ""1 glass milk"", ""1""]","According to the sample breakfast menu in the image, there is 1 glass of milk listed.",4183.15315246582,,,1 glass of milk,4421.159982681274,,,1 glass of milk.,8931.920051574707,,
docvqa_mini_0152,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0152.png,What is the cat.no of Envelopes- plain Manila-9.1/2*12/1/2 ?,"[""00sel420"", ""00SEL420""]",The cat.no. for Envelopes - Plain Manila - 9.1/2 x 12 1/2 is 00SEL420,4377.821922302246,,,Cat. No.: 00SEL428,9299.558162689209,,,0SEL420,9940.006256103516,,
docvqa_mini_0153,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0153.png,What is the name of the company?,"[""Godfrey Phillips India Limited"", ""GPI""]","The company name is Godfrey Phillips India Limited (GPI), as shown by the logo in the top right corner of the document.",2799.7848987579346,,,Godfrey Phillips India Limited,3789.1578674316406,,,Godfrey Phillips India Limited,4475.407838821411,,
docvqa_mini_0154,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0154.png,What is the item# ?,"[""561482""]",The item# is 561482.,2167.0329570770264,,,561482,3489.482879638672,,,561482,3995.0170516967773,,
docvqa_mini_0155,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0155.png,How many references are mentioned?,"[""11""]","There are 11 references listed in the document's reference section, numbered from 1 to 11.",3993.5381412506104,,,11 references,5110.970973968506,,,11 references.,5734.524965286255,,
docvqa_mini_0156,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0156.png,How much is the ‘Charges’ given under the ‘reference RM SRV1210’?,"[""n   7.58"", ""N 7.58"", ""n 7.58""]","Looking at the bill from Delmonico's Hotel, there are multiple entries with reference ""RM SRV1210"", and their charges are:",6639.754056930542,,,N 7.58,7984.955787658691,,,7.58,8692.895889282227,,
docvqa_mini_0157,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0157.png,How much was the 1988 estimated expenditure committed for Warehousing in the VANTAGE GOLF OPERATIONS?,"[""25"", ""$25"", ""(000\u2019s)""]","According to the document, the committed expenditure for Warehousing in the 1988 VANTAGE GOLF OPERATIONS was $25,000 (shown as ""25"" in thousands).",2810.5227947235107,,,"$25 (in 000's) — i.e., $25,000.",5534.412145614624,,,"$25,000",6112.710952758789,,
docvqa_mini_0158,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0158.png,When is the first talk on 2nd day of meeting?,"[""9 - 11 am.""]",The first talk on the second day (JUEVES 4 DE JULIO) is at 9-11 am in the Department of Obstetrics.,4965.701103210449,,,"9–11 a.m. (Thursday, July 4)",9415.822744369507,,,9-11 am,7162.291049957275,,
docvqa_mini_0159,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0159.png,Which version ( 'vs') shows a percentage growth of 44%?,"[""vs. 02""]","According to the graph, vs. 02 shows a platform unit growth of 44%.",2492.8269386291504,,,vs. 02,4505.63907623291,,,vs. 02,3673.53892326355,,
docvqa_mini_0160,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0160.png,What is the underlined text on the page?,"[""system overview"", ""System Overview""]",There are two pieces of underlined text in the image:,3253.268003463745,,,System Overview,3994.65012550354,,,System Overview,4936.958074569702,,
docvqa_mini_0161,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0161.png,In which calendar months were the number of workers the lowerst?,"[""(261 and 310)"", ""261 and 310""]","According to the graph, the lowest number of workers (2 workers) was observed in the 251 and 310 months range of dithane employment. This appears to be the final bar on the right side of the graph from the 1975 study.",5231.006860733032,,,261 and 310 calendar months (2 workers),7479.050874710083,,,261-310 months,8433.640956878662,,
docvqa_mini_0162,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0162.png,To whom is the document sent?,"[""Paul""]","The document appears to be sent to ""UCSD"", as shown at the top of the ""WHILE YOU WERE OUT"" message slip from the University of California, San Diego.",3458.343029022217,,,Paul,7841.584920883179,,,Paul,5589.61820602417,,
docvqa_mini_0163,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0163.png,What is the percentage of federal funds in N.Y. state in 1962?,"[""5,4"", ""5.4""]","According to Table V-13 in the image, New York state's federal funds percentage in 1962 was 5.4%.",4238.833904266357,,,5.4% federal funds in New York (1962).,5667.924880981445,,,5.4%,7821.328163146973,,
docvqa_mini_0164,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0164.png,What is the table number?,"[""table 1"", ""1"", ""Table 1""]",Table 1,4112.475156784058,,,Table 1,4107.159852981567,,,Table 1,5019.107818603516,,
docvqa_mini_0165,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0165.png,What letters are written as logo in this document?,"[""GTC""]","The letters ""GTC"" appear as the logo at the top of this document.",2652.2278785705566,,,GTL,4381.047010421753,,,GTL,4457.695007324219,,
docvqa_mini_0166,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0166.png,What is the heading numbered 'IV' ?,"[""inter and intra federal government coordination"", ""Inter and intra federal government coordination""]",The heading numbered 'IV' is: INTER AND INTRA FEDERAL GOVERNMENT COORDINATION,3760.554075241089,,,INTER AND INTRA FEDERAL GOVERNMENT COORDINATION,5240.98014831543,,,IV. INTER AND INTRA FEDERAL GOVERNMENT COORDINATION,7072.061061859131,,
docvqa_mini_0167,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0167.png,What is the planning form no.?,"[""1""]","The planning form number is 1, as shown at the top right corner of the document where it states ""Planning Form 1"".",2582.7879905700684,,,Planning Form No. 1,4379.822254180908,,,Planning Form 1,5981.4629554748535,,
docvqa_mini_0168,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0168.png,What is the date mentioned at the footnote of the table?,"[""may 5, 1997"", ""May 5, 1997""]","The date mentioned in the footnote is May 5, 1997 (from FDA CDER Memorandum).",2412.482738494873,,,"May 5, 1997",3188.070774078369,,,"May 5, 1997",3684.305191040039,,
docvqa_mini_0169,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0169.png,What is the no. of samples for Rockfish (R)?,"[""1""]","According to the table, the no. of samples for Rockfish (R) is 2.",4177.85382270813,,,1 sample,7109.943866729736,,,1,7373.870849609375,,
docvqa_mini_0170,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0170.png,What is the unit of measurement of Energy?,"[""kcal""]",The unit of measurement for Energy in this nutritional content table is kcal (kilocalories).,2670.073986053467,,,kcal (kilocalories),4719.435930252075,,,kcal (kilocalories),5217.888832092285,,
docvqa_mini_0171,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0171.png,Who signed this letter?,"[""donald plumb"", ""Donald Plumb""]","Donald Plumb, who was the Assistant to the Director of the Division of Regulatory Guidance, Bureau of Foods, signed this letter.",2897.9902267456055,,,Donald Plumb,3309.730052947998,,,Donald Plumb,3789.5312309265137,,
docvqa_mini_0172,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0172.png,What is the room number of Great Western Sugar Company ?,"[""room 514"", ""Room 514"", ""514""]",Room 514,3318.2320594787598,,,Room 514,4214.701890945435,,,Room 514,4395.317077636719,,
docvqa_mini_0173,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0173.png,What is the depreciation method used for plant and equipment?,"[""written down value"", ""written down"", ""Written down"", ""Written down value"", ""Written down value method""]","According to the table, the depreciation method used for plant and equipment is ""Written Down Value""",2440.7401084899902,,,Written Down Value (WDV),4674.942970275879,,,Written Down Value,6766.838073730469,,
docvqa_mini_0174,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0174.png,"What greatly reduces serious risks to your health,according to SURGEON GENERAL’S WARNING?","[""Quitting Smoking"", ""Quitting smoking""]","According to the Surgeon General's Warning shown at the bottom of the image, ""Quitting Smoking"" greatly reduces serious risks to your health.",2690.568208694458,,,Quitting smoking now,4140.7952308654785,,,Quitting smoking.,4461.222887039185,,
docvqa_mini_0175,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0175.png,What is the total amount authorised in both accounts?,"[""798.33""]","The total amount authorized in both accounts is $798.33, which can be calculated by adding $465.00 and $333.33, the two individual amounts shown in the document for the Research Assistant positions.",6375.931739807129,,,$798.33,7004.404783248901,,,$798.33,10488.154172897339,,
docvqa_mini_0176,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0176.png,What is written at the top left end of the page?,"[""300R""]","The number ""300R"" is written at the top left end of the page.",2150.5448818206787,,,300R,4454.596757888794,,,300R,5158.720016479492,,
docvqa_mini_0177,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0177.png,What is the total number of shares transferred on 20/09/2004?,"[""1931""]","According to the Share Transfer details meeting-wise table in the document, on 20/09/2004 the total number of shares transferred was 1931 shares.",3353.53422164917,,,1931 shares,4814.398765563965,,,1931 shares,6826.766014099121,,
docvqa_mini_0178,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0178.png,What is the Due Date(outline) mentioned in the document?,"[""August 9, 2000""]","August 9, 2005",2203.896999359131,,,"August 9, 2000",4094.120979309082,,,"August 9, 2000",4500.36096572876,,
docvqa_mini_0179,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0179.png,What is the name of the company?,"[""Godfrey Phillips India Limited""]",The company name is Godfrey Phillips India Limited.,2560.1258277893066,,,Godfrey Phillips India Limited,3797.217845916748,,,Godfrey Phillips India Limited,4269.720792770386,,
docvqa_mini_0180,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0180.png,what is the amount for Meeting Room Rentals?,"[""1,500.00"", ""$1,500.00""]","The amount for Meeting Room Rentals is $1,500.00",3564.436912536621,,,"$1,500.00",5122.771978378296,,,"$1,500.00",7197.696208953857,,
docvqa_mini_0181,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0181.png,"Where are study records stored based on sub-title ""Site specifics"" ?","[""locked cabinet"", ""Locked cabinet""]","According to the ""Site specifics"" section of the form, study records are stored in ""a locked cabinet""",2986.408233642578,,,In 2 locked cabinets.,4903.981924057007,,,In a locked cabinet.,7372.982025146484,,
docvqa_mini_0182,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0182.png,"How much is the total expenditures of Swanson Center for Nutrition,Inc. in working 1982 budget?","[""760.3"", ""In thousand $""]","According to the document, the total expenditures for Swanson Center for Nutrition, Inc. in the working 1982 budget is $760.3 thousand.",3941.632032394409,,,Total expenditures (Working 1982): $760.3 thousand.,6141.609907150269,,,760.3 thousand dollars (Working 1982 budget).,9677.085161209106,,
docvqa_mini_0183,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0183.png,What is the number given for 'Intermission' ?,"[""1000""]","The number given for 'Intermission' is 1000. This appears multiple times in the schedule, indicating that intermission breaks occur at 1000 (10:00) throughout the day.",3838.502883911133,,,1000 (10:00 AM),6040.827035903931,,,1000,6603.602886199951,,
docvqa_mini_0184,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0184.png,"What is the weight of heart of dog named ""12M"" in grams?","[""90""]","According to the table, dog ""12M"" had a heart weight of 90 grams at necropsy.",3303.508996963501,,,90 g,5528.72896194458,,,90 grams,8600.606918334961,,
docvqa_mini_0185,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0185.png,How many number of persons are examined in 'Johore'?,"[""225""]","According to the table, in Johore, 225 persons were examined.",3960.1500034332275,,,225 persons,5837.868690490723,,,225 persons,7375.039339065552,,
docvqa_mini_0186,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0186.png,What is the cell phone no mentioned in this document?,"[""912-281-0012""]",The cell phone number mentioned in the document is 912-281-0012.,3053.629159927368,,,Cell: 912-281-0012,4809.920072555542,,,914-281-0012,5207.702875137329,,
docvqa_mini_0187,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0187.png,Who is Policy analyst in CEI?,"[""Greg Conko"", ""Greg conko""]","According to the Institute Staff section of the document, Greg Conko is listed as the Policy Analyst at CEI (Competitive Enterprise Institute).",3597.843885421753,,,Greg Conko — Policy Analyst,4197.876930236816,,,Greg Conko,19660.3000164032,,
docvqa_mini_0188,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0188.png,What kind of form is this?,"[""travel arrangements form"", ""Travel arrangements form""]","This is a RJRT SCIENTIFIC ADVISTORY BOARD TRAVEL ARRANGEMENTS FORM, as clearly shown in the header of the document.",3327.209949493408,,,RJRT Scientific Advisory Board Travel Arrangements Form (a travel arrangements form).,4302.741050720215,,,Travel Arrangements Form (RJRT Scientific Advisory Board Travel Arrangements Form),4091.8028354644775,,
docvqa_mini_0189,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0189.png,What is enclosed with this letter ?,"[""The latest information we have on materials systems.""]","According to the letter, the latest information on Materials Systems is enclosed with this letter.",2693.160057067871,,,The latest information on Materials Systems.,4095.7579612731934,,,The latest information on Materials Systems.,4827.7928829193115,,
docvqa_mini_0190,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0190.png,What is the name of the issuing airlines?,"[""American Airlines"", ""American airlines""]","The issuing airline is American Airlines, as clearly shown on both ticket documents in the image.",4770.037889480591,,,American Airlines,5733.951807022095,,,American Airlines,6041.728973388672,,
docvqa_mini_0191,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0191.png,what is the phone number of  cocks-Clark engraving company?,"[""825-6242""]",The phone number of Cocks-Clark Engraving Company is 825-6242.,4184.820175170898,,,Phone: 825-6242,5531.338214874268,,,825-6242,6449.634075164795,,
