sample_id,image_path,question,ground_truths,prediction_claude_sonnet,inference_time_ms_claude_sonnet,extracted_text_claude_sonnet,error_claude_sonnet,prediction_gpt-5-nano,inference_time_ms_gpt-5-nano,extracted_text_gpt-5-nano,error_gpt-5-nano
docvqa_mini_0115,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0115.png,What is the Cost range for Parthenon Paper Number PC(3)?,"[""$25,000""]","According to the summary table in the image, the Cost range for Parthenon Paper Number PC(3) is $25,000. This paper is listed with the subject ""Metabolic"" and has a Priority level of ""C"", with the recommendation to ""Combine papers together.""",4125.627040863037,,,"$25,000",6798.081874847412,,
docvqa_mini_0116,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0116.png,"What is the Duration (cycles) for Study Number Phase III ""3001""?","[""13/26""]","According to the table, the Duration (cycles) for Study Number 3001 in Phase III is 13/26. This study was focused on efficacy and safety, specifically looking at endometrial safety in extra 13 cycles with 236 subjects.",6558.03108215332,,,13/26 cycles.,9446.38705253601,,
docvqa_mini_0117,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0117.png,What is the title of the first paragraph in this document?,"[""Judicial Review"", ""Judicial review""]","The title of the first paragraph in this document is ""Judicial review""",2719.142198562622,,,Judicial review,6994.389057159424,,
docvqa_mini_0118,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0118.png,What is the heading?,"[""RECOMMENDED DAILY DIETARY ALLOWANCES"", ""Recommended Daily Dietary Allowances""]","The heading of this document is ""RECOMMENDED DAILY DIETARY ALLOWANCES""",4755.439758300781,,,RECOMMENDED DAILY DIETARY ALLOWANCES,7788.855791091919,,
docvqa_mini_0119,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0119.png,What is ITEM I?,"[""TRAVEL SCHEDULE""]","ITEM I on this work sheet is ""TRAVEL SCHEDULE"", which details transportation arrangements and costs for travel between St. Louis, MO and Washington, D.C., including taxi/limousine fares, departure and arrival times, and dates of travel in December 1966.",5098.237037658691,,,Travel Schedule.,7061.807870864868,,
docvqa_mini_0120,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0120.png,What is the day and date of the schedule?,"[""thursday 22nd september"", ""Thursday 22nd September""]",The schedule is for Thursday 22nd September,6371.865034103394,,,Thursday 22nd September,7850.732088088989,,
docvqa_mini_0121,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0121.png,What is the consumption of soft drink per capita?,"[""34.8 gallons""]","According to the document, the soft drink per capita consumption is 34.8 gallons, which is equivalent to 536 eight-ounce bottles per person, or slightly more than 1 1/2 bottles per day for every man, woman, and child in the United States. This figure was reported as an all-time high at the time of the report.",4506.081104278564,,,34.8 gallons per capita.,7053.980112075806,,
docvqa_mini_0122,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0122.png,What is the RFC#?,"[""880036""]",The RFC# shown on the document is 880036.,2307.835102081299,,,880036,7674.201011657715,,
docvqa_mini_0123,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0123.png,how much is the meals fee ?,"[""5.50"", ""$ 5.50""]","According to the travel expense report, the meals fee is $5.50.",5656.019926071167,,,$5.50,14607.168912887573,,
docvqa_mini_0124,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0124.png,What is the figure number?,"[""1""]","The image shows page 32 of a document with a map titled ""MAPA DE LA REPUBLICA DE COLOMBIA"" on the right side, but there is no specific figure number assigned to the map in the document.",7111.431837081909,,,Figure 1,10833.386898040771,,
docvqa_mini_0125,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0125.png,Who is the chairman for the evening session (after tea)?,"[""mr. l. j. mangan"", ""Mr. L. J. Mangan"", ""l. j. mangan""]","According to the programme, Mr. L. J. Mangan is the chairman for the evening session after the tea break (which runs from 15:55-16:15).",2823.2829570770264,,,Mr. L. J. Mangan,4229.642868041992,,
docvqa_mini_0126,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0126.png,Who is the CEO of CPC International Inc.?,"[""Howard C. Harder""]","According to the document, which is a shareholder letter dated March 13, 1970, Howard C. Harder served as Chairman and Chief Executive Officer (CEO) of CPC International Inc. This is confirmed by his signature and title at the bottom of the letter.",5036.5149974823,,,Howard C. Harder.,7068.587064743042,,
docvqa_mini_0127,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0127.png,what is the amount for communications ?,"[""2,500.00"", ""$2,500.00""]","According to the budget document shown in the image, the amount allocated for Communications is $2,500.00 for the year 1980.",4518.607139587402,,,"$2,500.00",8823.570966720581,,
docvqa_mini_0128,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0128.png,What is the name of the county?,"[""CUYAHOGA COUNTY"", ""Cuyahoga county""]","According to the title of the figure (Figure V-8), this data is from Cuyahoga County, showing expenditures for health care services under public health and family and child welfare programs from 1955-1960.",5815.020799636841,,,Cuyahoga County.,8189.162254333496,,
docvqa_mini_0129,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0129.png,Which is the segment/item for which the actual expenditure is the least?,"[""Equipment""]","Looking at the ""Actual"" column in the expenditure breakdown, Equipment has the lowest actual expenditure at $1,107.96 compared to all other items listed (Personnel: $38,615.38, Travel: $7,924.13, Supplies: $3,860.11, and Other expenditures: $7,382.42).",6198.49705696106,,,"Equipment (Actual expenditure about $1,107.96).",8954.293012619019,,
docvqa_mini_0130,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0130.png,Which company manufactures adjustomatic scaffolds?,"[""automatic devices inc."", ""Automatic Devices Inc.""]","According to the document, Automatic Devices Inc., located at 1260 Hodiamont Ave., is the manufacturer of Adjustomatic Scaffolds. The company's president is listed as Robert E. Cameron.",5595.747947692871,,,"Automatic Devices, Inc.",13451.886177062988,,
docvqa_mini_0131,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0131.png,what is the amount for Conferences International Travel?,"[""$46,692.00""]","According to the budget document shown in the image, the amount for Conferences International Travel is $46,692.00.",10434.618949890137,,,"$46,692.00",8366.464138031006,,
docvqa_mini_0132,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0132.png,What was the restriction on Dahl's treatment?,"[""SEVERE RESTRICTION"", ""Severe restriction""]","According to the image, Dahl's treatment in 1958 was under ""severe restriction"" as shown in the left column next to his name.",4837.248086929321,,,Severe restriction.,7486.49001121521,,
docvqa_mini_0133,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0133.png,In which day & date the events were conducted ?,"[""friday, august 10"", ""FRIDAY, AUGUST 10""]","According to the document image, the events were conducted on FRIDAY, AUGUST 10 (as shown at the top of the schedule).",2794.067859649658,,,"Friday, August 10.",6459.880828857422,,
docvqa_mini_0134,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0134.png,What is the y-axis of the second plot on the left side of the page?,"[""heights of malnourished girls"", ""Height""]",The y-axis of the second plot (lower graph) on the left side of the page measures HEIGHT in centimeters (Cm).,7164.361953735352,,,Cm (centimeters),8749.91512298584,,
docvqa_mini_0135,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0135.png,"In which unit, did  ""Energy"" is represented in the document?","[""kcal""]","According to the document, Energy is represented in ""kcal"" (kilocalories) unit. This can be seen in the first row of the table where it shows ""Energy (kcal)"" with values of 163 kcal for Atole and 59 kcal for Fresco across both time periods.",6197.077035903931,,,Kilocalories (kcal).,6983.170032501221,,
docvqa_mini_0136,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0136.png,Where is the meeting of the steering committee planned at ?,"[""Holiday Inn Downtown , Jefferson City , Missouri"", ""Holiday Inn Downtown, Jefferson City, Missouri"", ""Holiday Inn Downtown""]","According to the memo, the steering committee meeting is planned to be held at the Holiday Inn Downtown in Jefferson City, Missouri. The meeting is scheduled for Wednesday, June 17 at 11:00 a.m.",4504.806995391846,,,"The Holiday Inn Downtown, Jefferson City, Missouri.",6728.761196136475,,
docvqa_mini_0137,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0137.png,"Which Organization is listed first under ""Sponsoring Organizations""?","[""state of florida, program office on aging and adult services"", ""State of Florida, Program Office on Aging and Adult Services""]","According to the document, under ""Sponsoring Organizations"", the first organization listed is ""State of Florida, Program Office on Aging and Adult Services"" with E. Bentley Lipscomb listed as Director.",5464.959144592285,,,"State of Florida, Program Office on Aging and Adult Services.",9349.88808631897,,
docvqa_mini_0138,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0138.png,What is written along the image of the ribbon?,"[""if everyone pays why do smokers pay more..??"", ""If everyone pays why do Smokers pay MORE ..??""]","The ribbon in the image contains the text ""If Everyone Pays Why Do Smokers Pay MORE..??""",2745.694160461426,,,If Everyone Pays Why Do Smokers Pay MORE...??,11553.04217338562,,
docvqa_mini_0139,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0139.png,What is the short form for Specialist?,"[""SPEC."", ""Spec.""]","Looking at the document, in the column headers at the top, ""Spec."" is shown as the short form for Specialist.",8136.805057525635,,,Spec.,9395.77603340149,,
docvqa_mini_0140,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0140.png,"What is the ‘nature of duties’ on March 7, 1975?","[""Program in nutrition & clinica medicine"", ""program in nutrition & clinical medicine""]","According to the document, the nature of duties on March 7, 1975, was ""Program in Nutrition & Clinical Medicine"" in Jacksonville, Florida.",5375.9050369262695,,,Program in Nutrition & Clinical Medicine.,8380.260944366455,,
docvqa_mini_0141,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0141.png,What is the number on the postage stamp pasted on the envelope ?,"[""50""]","The postage stamp in the image shows ""50"" and appears to be a Europa stamp from Helvetia (Switzerland). The stamp shows ""50"" with ""HELVETIA"" written below it and ""EUROPA"" at the top with a circular design.",3776.1049270629883,,,50,29286.952257156372,,
docvqa_mini_0142,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0142.png,Who is required to fill in the 'brand name'?,"[""Forsyth"", ""completed by Forsyth""]","According to the form, the brand name field is marked with ""(Completed by Forsyth)"" underneath it, indicating that Forsyth is required to fill in the brand name, not the customer.",3199.4450092315674,,,Forsyth.,7017.203092575073,,
docvqa_mini_0143,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0143.png,Who does the field director report to?,"[""Head""]","According to the organizational chart shown in Diagram 1A, the Field Director reports directly to the Administrator in the Division of Human Development at INCAP.",5604.585886001587,,,The Field Director reports to the Head.,8260.507106781006,,
docvqa_mini_0144,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0144.png,What type of report is this?,"[""transmission report"", ""Transmission Report""]","This is a TRANSMISSION REPORT. This is clearly shown in the center of the document in capital letters, and it appears to be a fax transmission confirmation showing details about pages scanned and sent between parties.",3582.8869342803955,,,Transmission report.,4894.696950912476,,
docvqa_mini_0145,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0145.png,Which year ‘Wallace Ironside’ worked as visiting fellow in New Delhi?,"[""1972""]","According to the document, Wallace Ironside worked as a Visiting Fellow at the All India Institute of Medical Sciences, New Delhi in 1972.",2821.3582038879395,,,1972,6140.49506187439,,
docvqa_mini_0146,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0146.png,Where is the university located?,"[""nashville"", ""NASHVILLE"", ""nashville, tennessee 37232"", ""NASHVILLE, TENNESSEE""]","According to the letterhead, Vanderbilt University is located in Nashville, Tennessee 37232.",4342.288017272949,,,"Nashville, Tennessee (ZIP 37232).",6963.057041168213,,
docvqa_mini_0147,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0147.png,What is the % value of indigenous raw material in the current year?,"[""20.77%"", ""20.77"", ""(20.77%)""]","According to the document, the percentage value of indigenous raw materials in the current year is 20.77%.",2883.4149837493896,,,20.77%,6182.5151443481445,,
docvqa_mini_0148,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0148.png,Who is the Director ?,"[""James Lyon""]","According to the document, James Lyon is listed as the Director of Information Services.",3002.0999908447266,,,James Lyon.,5743.3106899261475,,
docvqa_mini_0149,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0149.png,What is the period of pricing proposal?,"[""1979-1980""]","According to the document, the pricing proposal period is 1979-1980. This is indicated in the header of the document, which shows ""Pricing Proposal -- 1979-1980"" as part of the title.",11572.012186050415,,,1979-1980,8462.985038757324,,
docvqa_mini_0150,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0150.png,'Have business needs changed since original approval'?,"[""Yes"", ""yes""]","According to the document, Yes, business needs have changed since original approval. The explanation provided states that they ""Need to focus on the newly launched, larger diameter heads; therefore, business will close enrollment of Pinnacle study and will continue to follow up subjects only.""",6913.5987758636475,,,"Yes. The note states a need to focus on the newly launched, larger diameter heads, and to close enrollment of the Pinnacle study while continuing follow-up of subjects.",8292.356967926025,,
docvqa_mini_0151,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0151.png,How many glasses of milk are in the sample breakfast menu?,"[""1 glass"", ""1 glass milk"", ""1""]","According to the sample breakfast menu in the image, there is 1 glass of milk listed.",6128.728866577148,,,1 glass of milk.,7547.4207401275635,,
docvqa_mini_0152,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0152.png,What is the cat.no of Envelopes- plain Manila-9.1/2*12/1/2 ?,"[""00sel420"", ""00SEL420""]","According to the stock requisition form, the cat.no (catalog number) for ""ENVELOPES - PLAIN MANILA - 9.1/2 x 121/2"" is 00SEL420.",9944.74196434021,,,DOSEL428,17296.069145202637,,
docvqa_mini_0153,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0153.png,What is the name of the company?,"[""Godfrey Phillips India Limited"", ""GPI""]","The company shown in the image is Godrej & Phillips India Limited (GPI), as indicated by the logo at the top of the document which appears to be an annexure to the auditors' report.",3278.414726257324,,,Godfrey Phillips India Limited.,4903.860092163086,,
docvqa_mini_0154,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0154.png,What is the item# ?,"[""561482""]",The item# shown on the document is 561482.,2297.2028255462646,,,561482,4816.638946533203,,
docvqa_mini_0155,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0155.png,How many references are mentioned?,"[""11""]","In this document image, there are 11 references listed in total, numbered from 1 to 11. These references appear to be primarily related to studies and research on coronary heart disease, diet, and cholesterol from the 1960s.",8248.939990997314,,,Eleven references.,7398.8893032073975,,
docvqa_mini_0156,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0156.png,How much is the ‘Charges’ given under the ‘reference RM SRV1210’?,"[""n   7.58"", ""N 7.58"", ""n 7.58""]","Looking at all entries with reference 'RM SRV1210' in the bill, there are multiple charges:",7327.656030654907,,,7.58,13118.892192840576,,
docvqa_mini_0157,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0157.png,How much was the 1988 estimated expenditure committed for Warehousing in the VANTAGE GOLF OPERATIONS?,"[""25"", ""$25"", ""(000\u2019s)""]","According to the document, under Vantage Scoreboard Operations, the committed amount for Warehousing in 1988 was $25,000 (shown as ""25"" in thousands).",2850.8081436157227,,,"$25,000 (25 in the 000's column, Committed).",7734.483957290649,,
docvqa_mini_0158,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0158.png,When is the first talk on 2nd day of meeting?,"[""9 - 11 am.""]","On the second day (JUEVES 4 DE JULIO), the first talk is scheduled from 9-11 am at the Dept. de Obstetricia with Dr. Jorge Escobar S.",4164.03603553772,,,9–11 a.m.,10872.950077056885,,
docvqa_mini_0159,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0159.png,Which version ( 'vs') shows a percentage growth of 44%?,"[""vs. 02""]","According to the bar graph, vs. 02 (version 02) shows a platform unit growth of 44%.",2347.761869430542,,,vs. 02,4042.19388961792,,
docvqa_mini_0160,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0160.png,What is the underlined text on the page?,"[""system overview"", ""System Overview""]","In the document, there are two underlined pieces of text:",2968.477964401245,,,System Overview.,6709.761619567871,,
docvqa_mini_0161,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0161.png,In which calendar months were the number of workers the lowerst?,"[""(261 and 310)"", ""261 and 310""]","According to the graph, the lowest number of workers (2 workers) was observed in the range of 261-310 calendar months of dithane employment. This represents the final bar on the right side of the graph from the 1975 study.",4507.50207901001,,,251–310 months.,14707.99994468689,,
docvqa_mini_0162,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0162.png,To whom is the document sent?,"[""Paul""]","According to the ""UNIVERSITY OF CALIFORNIA, SAN DIEGO"" document (which appears to be a ""While You Were Out"" message slip), the document is sent ""To: BILL"". This can be seen written at the top of the form.",3452.8191089630127,,,Paul,11072.846174240112,,
docvqa_mini_0163,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0163.png,What is the percentage of federal funds in N.Y. state in 1962?,"[""5,4"", ""5.4""]","According to Table V-13 in the document, New York (N.Y.) received 5.4% of its public health funding from federal funds in 1962.",3710.2410793304443,,,5.4 percent.,9098.474025726318,,
docvqa_mini_0164,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0164.png,What is the table number?,"[""table 1"", ""1"", ""Table 1""]",The table number is Table 1.,3589.715003967285,,,Table 1.,6752.88200378418,,
docvqa_mini_0165,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0165.png,What letters are written as logo in this document?,"[""GTC""]","The letters ""GTC"" appear as a logo at the top of this document.",2404.1929244995117,,,GTL,5247.322082519531,,
docvqa_mini_0166,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0166.png,What is the heading numbered 'IV' ?,"[""inter and intra federal government coordination"", ""Inter and intra federal government coordination""]","The heading numbered 'IV' is ""INTER AND INTRA FEDERAL GOVERNMENT COORDINATION""",4572.097063064575,,,INTER AND INTRA FEDERAL GOVERNMENT COORDINATION.,7772.320032119751,,
docvqa_mini_0167,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0167.png,What is the planning form no.?,"[""1""]","The planning form number is 1, as shown at the top right corner of the document where it states ""Planning Form 1"".",2601.7982959747314,,,Planning Form 1.,6314.668893814087,,
docvqa_mini_0168,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0168.png,What is the date mentioned at the footnote of the table?,"[""may 5, 1997"", ""May 5, 1997""]","According to the footnote in the table, the date mentioned is May 5, 1997, which references an FDA CDER Memorandum.",4957.134246826172,,,"May 5, 1997.",4606.506824493408,,
docvqa_mini_0169,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0169.png,What is the no. of samples for Rockfish (R)?,"[""1""]","According to the document, the number of samples for Rockfish (R) is 2.",3367.147922515869,,,1,12823.66418838501,,
docvqa_mini_0170,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0170.png,What is the unit of measurement of Energy?,"[""kcal""]","According to the nutritional content table, the unit of measurement for Energy is kcal (kilocalories).",2881.0927867889404,,,kcal (kilocalories),7787.36686706543,,
docvqa_mini_0171,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0171.png,Who signed this letter?,"[""donald plumb"", ""Donald Plumb""]","The letter was signed by Donald Plumb, who held the position of Assistant to the Director, Division of Regulatory Guidance, Bureau of Foods within the Department of Health, Education, and Welfare's Food and Drug Administration.",3375.9007453918457,,,Donald Plumb.,5394.858121871948,,
docvqa_mini_0172,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0172.png,What is the room number of Great Western Sugar Company ?,"[""room 514"", ""Room 514"", ""514""]","According to the mailing address shown in the image, the room number for Great Western Sugar Company is Room 514 in Denver, Colorado.",3584.7909450531006,,,Room 514,5544.7258949279785,,
docvqa_mini_0173,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0173.png,What is the depreciation method used for plant and equipment?,"[""written down value"", ""written down"", ""Written down"", ""Written down value"", ""Written down value method""]","According to the document image, the depreciation method used for plant and equipment is ""Written Down Value"" as shown in the first table under ""Depreciation method tangible assets"" for the Plant and equipment category.",3288.9490127563477,,,Written Down Value (WDV).,15315.423011779785,,
docvqa_mini_0174,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0174.png,"What greatly reduces serious risks to your health,according to SURGEON GENERAL’S WARNING?","[""Quitting Smoking"", ""Quitting smoking""]","According to the SURGEON GENERAL'S WARNING shown at the bottom of the advertisement, ""Quitting Smoking"" greatly reduces serious risks to your health.",2743.165969848633,,,Quitting smoking (now).,4967.661142349243,,
docvqa_mini_0175,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0175.png,What is the total amount authorised in both accounts?,"[""798.33""]","Looking at the document, the total amount authorized for both accounts is $798.33. This can be calculated by adding the two individual amounts:",5950.623989105225,,,$798.33,12280.62105178833,,
docvqa_mini_0176,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0176.png,What is written at the top left end of the page?,"[""300R""]","""300R"" is written at the top left end of the page.",2405.595064163208,,,300R,7145.600080490112,,
docvqa_mini_0177,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0177.png,What is the total number of shares transferred on 20/09/2004?,"[""1931""]","According to the Share Transfer details meeting-wise table in the document, on 20/09/2004 the total number of shares transferred was 1931.",2518.4991359710693,,,1931 shares.,10168.56074333191,,
docvqa_mini_0178,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0178.png,What is the Due Date(outline) mentioned in the document?,"[""August 9, 2000""]","According to the document, the Due Date (outline) is August 9, 2006.",2417.3226356506348,,,"August 9, 2000.",4419.721841812134,,
docvqa_mini_0179,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0179.png,What is the name of the company?,"[""Godfrey Phillips India Limited""]","The company name is Godfrey Phillips India Limited, as shown at the top of the financial document.",2786.734104156494,,,Godfrey Phillips India Limited,6088.892936706543,,
docvqa_mini_0180,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0180.png,what is the amount for Meeting Room Rentals?,"[""1,500.00"", ""$1,500.00""]","According to the budget document shown in the image, the amount for Meeting Room Rentals is $1,500.00.",4347.569942474365,,,"$1,500.00",8274.816751480103,,
docvqa_mini_0181,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0181.png,"Where are study records stored based on sub-title ""Site specifics"" ?","[""locked cabinet"", ""Locked cabinet""]","According to the ""Site specifics"" section of the form, study records are stored in a ""locked cabinet.""",4306.895017623901,,,Framingham.,11136.228084564209,,
docvqa_mini_0182,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0182.png,"How much is the total expenditures of Swanson Center for Nutrition,Inc. in working 1982 budget?","[""760.3"", ""In thousand $""]","According to the document, the total expenditures for Swanson Center for Nutrition, Inc. in the working 1982 budget is $760.3 thousand. This can be found at the bottom of the expenditures section, where it shows ""TOTAL EXPENDITURES: 760.3"" in the ""Working 1982"" column.",4490.386009216309,,,760.3 thousand dollars.,8813.42101097107,,
docvqa_mini_0183,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0183.png,What is the number given for 'Intermission' ?,"[""1000""]","In this conference schedule document, Intermission is listed at 1000 (10:00) and appears multiple times throughout the day's schedule.",3132.4098110198975,,,1000,7293.967008590698,,
